Country,Continent,noRecords,Devices,Tests,uSpeed,dSpeed,latMs,avgPop,rankUpload,rankDownload,rankLatency
Afghanistan,Asia,802,1722,8108,3879,4012,61,25067407,224,231,43
Åland Islands,Europe,221,428,981,70630,86634,12,0,33,54,209
Albania,Europe,6300,29814,93595,21311,33064,14,3153731,109,124,195
Algeria,Africa,15822,60235,292464,2115,9711,48,32854159,230,208,59
American Samoa,Oceania,78,165,770,23597,46345,35,64051,98,96,96
Andorra,Europe,188,1575,4274,127017,133187,6,73483,13,28,236
Angola,Africa,920,2953,10187,6886,13415,44,16095214,194,184,66
Anguilla,Americas,129,375,926,16176,44749,20,12256,128,100,148
Antigua and Barbuda,Americas,389,2406,8022,10229,23091,34,83039,156,147,103
Argentina,Americas,49645,297806,990974,18707,34410,28,38747148,120,119,117
Armenia,Asia,4593,30126,94417,30212,33114,12,3017661,73,123,209
Aruba,Americas,312,3715,10357,14672,86343,14,102897,135,55,195
Australia,Oceania,84216,499027,1604532,14931,58726,49,20310208,132,80,57
Austria,Europe,34328,109024,346537,18411,58884,18,8291979,123,79,163
Azerbaijan,Asia,10165,76246,279183,12974,13545,39,8352021,141,183,83
Bahamas,Americas,821,3793,11754,19092,57387,36,323295,119,83,93
Bahrain,Asia,896,22390,57151,37433,76444,11,724788,63,66,219
Bangladesh,Asia,16689,63747,232000,28088,25818,12,15328112,80,140,209
Barbados,Americas,736,4135,9828,62042,136294,5,291933,37,22,237
Belarus,Europe,11921,39037,113101,32325,40389,20,9795287,68,106,148
Belgium,Europe,37822,108702,325372,20964,108495,16,10398049,112,45,181
Belize,Americas,1133,4435,12631,26851,35671,18,275546,87,114,163
Benin,Africa,223,594,2289,7803,12770,39,8490301,185,189,83
Bermuda,Americas,157,1360,3988,39915,122349,17,64174,60,37,176
Bhutan,Asia,209,507,2069,17153,12497,24,637013,127,191,134
Bolivia,Americas,7471,92151,338958,9174,18701,27,9182015,168,161,120
Bosnia and Herzegovina,Europe,12728,43037,143168,6174,23782,26,3915238,202,144,124
Botswana,Africa,1425,3653,13097,6845,8425,61,1835938,196,213,43
Brazil,Americas,341649,2983064,11339832,55523,77601,21,186830759,40,64,145
Brunei Darussalam,Asia,1076,6075,19123,22476,34296,14,373831,101,120,195
Bulgaria,Europe,11790,59065,169140,44378,53714,14,7744591,55,88,195
Burkina Faso,Africa,473,3282,10364,9803,25677,32,13933363,161,141,106
Burma,,10017,70885,219214,20181,19949,23,47967266,116,157,137
Burundi,Africa,71,165,652,8854,8285,38,7858791,170,215,88
Cambodia,Asia,6373,54400,160238,21275,20230,14,13955507,110,155,195
Cameroon,Africa,480,1138,4293,6042,12954,94,17795149,203,186,31
Canada,Americas,187052,774346,2591034,52388,128123,38,32270507,46,33,88
Cape Verde,Africa,173,918,3098,6793,14888,44,506807,197,178,66
Cayman Islands,Americas,261,1611,4596,27430,62417,18,45591,84,77,163
Central African Republic,Africa,12,12,28,4313,9116,749,4191429,222,209,6
Chad,Africa,29,39,70,7528,18364,99,10145609,188,165,27
Chile,Americas,21624,251473,826399,127220,172623,29,16295102,12,10,114
China,Asia,463218,1330517,5052310,53468,209372,16,1312978855,44,2,181
Colombia,Americas,32566,480420,1854453,21971,34249,44,4494579,104,121,66
Comoros,Africa,6,7,36,8620,6905,157,797902,176,224,18
